Veld;Label;Formaat;Type;Lijst met mogelijke waarden;Is database veld
admi_num;Administratie;999;integer;;WAAR
arbv_bestelcode;Bestelcode;x(40);character;;WAAR
arti_code;Artikel;x(40);omschrijving;;WAAR
btwc_code;BTW;9;integer;;WAAR
cert_code;Certificaat;x(10);character;;WAAR
d_dashboard;Dashboard;;Dashboard;;ONWAAR
intr_code;Intrastatcode;x(20);character;;WAAR
magw_code;Code;x(10);character;;WAAR
matf_num;Formule;>>9;integer;;WAAR
mats_num;Soort;x(6);character;;WAAR
mkg_gbrv_arti_vorr;MKG artikel verkooporder regel;;omschrijving;;ONWAAR
mkg_gebr_vorr;MKG Verkooporderregel;;omschrijving;;ONWAAR
s_actie_accepteren;Accepteren;;Service;;ONWAAR
s_actie_afwijzen;Annuleren;;Service;;ONWAAR
s_actie_bevestigen;Bevestigen;;Service;;ONWAAR
s_actie_facturen;Factureren;;Service;;ONWAAR
s_actie_fiat_facturatie;Fiatteren voor facturatie;;Service;;ONWAAR
s_actie_goederen_leveren;Pakbon maken;;Service;;ONWAAR
s_actie_herbevestigen;Herbevestigen;;Service;;ONWAAR
s_actie_picklist;Picklist;;Service;;ONWAAR
s_actie_terugmelden_picklist;Terugmelden picklist;;Service;;ONWAAR
s_actie_valideren;Valideren;;Service;;ONWAAR
s_add_ioln;Op aanvraaglijst plaatsen;;Service;;ONWAAR
s_AddRequirementToOrderProductie;Toevoegen aan verkooporder productieorder;;Service;;ONWAAR
s_AddRequirementToProductionOrde;Toevoegen aan productieorder;;Service;;ONWAAR
s_create_agreement;Maak prijsafspraak;;Service;;ONWAAR
s_create_article;Maak artikel;;Service;;ONWAAR
s_createautoreservation;Automatisch reserveren;;Service;;ONWAAR
s_createbackflush;Backflush;;Service;;ONWAAR
s_createproductionorder;Aanmaken productieorder;;Service;;ONWAAR
s_createpurchaseorder;Aanmaken inkooporder;;Service;;ONWAAR
s_createreservation;Aanmaken reservering;;Service;;ONWAAR
s_deletereservations;Verwijder reserveringen;;Service;;ONWAAR
s_forecastlijst_add;Regel toevoegen volgens standaard verzamel regels;;Service;;ONWAAR
s_forecastlijst_cancel;Forecastlijst annuleren;;Service;;ONWAAR
s_forecastlijst_del;Keuze forecastlijst ongedaan maken;;Service;;ONWAAR
s_forecastlijst_delete;Forecast verkooporderregel verwijderen;;Service;;ONWAAR
s_forecastlijst_save;Forecastlijst opslaan;;Service;;ONWAAR
s_fse;Forecast exploderen;;Service;;ONWAAR
